OBJECTID,year,state,st_case,veh_no,a_wrongwaydrv,a_drdis,a_drdro,a_vrd,a_body,a_imp1,a_vroll,a_lic_s,a_lic_c,a_cdl_s,a_mc_l_s,a_spveh,a_sbus,a_mod_yr,a_fire_exp,a_imp2
37184,2022,36,360407,1,2,2,2,1,4,2,2,2,2,2,4,2,3,2016,1,
37185,2022,36,360407,2,2,2,2,2,6,2,2,1,1,1,4,2,3,2020,1,
37186,2022,36,360408,1,2,2,2,2,9,2,2,3,3,3,4,2,3,9999,1,
37187,2022,36,360409,1,2,1,2,2,3,3,2,1,1,2,4,2,3,1999,1,
37188,2022,36,360409,2,2,2,2,2,2,2,2,1,1,2,4,2,3,2020,1,
37189,2022,36,360410,1,2,2,2,1,2,2,2,1,1,2,4,2,3,2010,1,
37190,2022,36,360410,2,2,2,2,2,2,2,2,1,1,2,4,2,3,2016,1,
37191,2022,36,360410,3,2,2,2,2,1,2,2,1,1,2,4,2,3,2006,1,
37192,2022,36,360411,1,2,2,2,2,1,2,2,1,1,2,4,2,3,2007,1,
37193,2022,36,360412,1,1,2,2,2,1,2,2,1,1,2,4,2,3,1998,1,
37194,2022,36,360412,2,2,2,2,2,1,2,2,1,1,2,4,2,3,2006,1,
37195,2022,36,360413,1,1,2,2,2,6,2,2,1,1,1,4,2,3,2020,1,
37196,2022,36,360413,2,2,2,2,2,3,4,1,1,1,2,4,2,3,2021,1,
37197,2022,36,360414,1,2,2,2,1,6,1,1,1,1,1,4,2,3,2023,1,
